id,family_id,class_code,source_kind,owner_stage,destination,status,package_status,possible_reference_ids,evidence,evidence_level,legacy-vector-symbols,transformer-vector-shapes,guy-vector-shapes,declarative-vector-packages,raster-template,raster-hough-generalizado,structural-raster-graph,structural-vector-graph,document-local-legend,learned-e11
cemig-eo-r3-s01-v001,family-f02-01,CONVENCAO_EO,document_context,E10,document_convention,informativo,nao_aplicavel,,convenção documental; E10 não resolve ID E01 a partir da legenda,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,informativo_nao_ativo,fora_do_dominio
cemig-eo-r3-s02-v001,family-f02-02,CONVENCAO_EO,annotation,E10,document_convention,informativo,nao_aplicavel,,convenção documental; E10 não resolve ID E01 a partir da legenda,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,informativo_nao_ativo,fora_do_dominio
cemig-eo-r3-s02-v002,family-f02-02,CONVENCAO_EO,annotation,E10,document_convention,informativo,nao_aplicavel,,convenção documental; E10 não resolve ID E01 a partir da legenda,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,informativo_nao_ativo,fora_do_dominio
cemig-eo-r3-s02-v003,family-f02-02,CONVENCAO_EO,annotation,E10,document_convention,informativo,nao_aplicavel,,convenção documental; E10 não resolve ID E01 a partir da legenda,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,informativo_nao_ativo,fora_do_dominio
cemig-eo-r3-s03-v001,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Dois círculos concêntricos; instalação preenche meia coroa; retirada com X vermelho; contorno/base. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v002,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Dois círculos concêntricos; instalação preenche meia coroa; retirada com X vermelho; preenchimento de instalação. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v003,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Dois círculos concêntricos; instalação preenche meia coroa; retirada com X vermelho; marca de retirada/substituição. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v004,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo; instalação com triângulo preto; retirada com X vermelho; contorno/base. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v005,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo; instalação com triângulo preto; retirada com X vermelho; preenchimento de instalação. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v006,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo; instalação com triângulo preto; retirada com X vermelho; marca de retirada/substituição. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v007,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo com ressalto superior. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v008,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo com ressalto superior e X vermelho. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v009,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo dividido longitudinalmente; X vermelho nas retiradas. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v010,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Retângulo dividido longitudinalmente; X vermelho nas retiradas. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v011,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo em quatro quadrantes; instalação preenche quadrantes opostos; retirada com X vermelho. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v012,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo em quatro quadrantes; instalação preenche quadrantes opostos; retirada com X vermelho. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v013,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo em quatro quadrantes; instalação preenche quadrantes opostos; retirada com X vermelho. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
